number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 13, point id = 4, error_u = 0.469865, error_v = -0.299129
camera id = 14, point id = 4, error_u = 0.588260, error_v = -0.454568
camera id = 0, point id = 5, error_u = 2.462041, error_v = 1.101722
camera id = 1, point id = 5, error_u = -0.661993, error_v = 1.630174
camera id = 3, point id = 5, error_u = -0.258051, error_v = -1.892575
camera id = 4, point id = 5, error_u = 3.166397, error_v = -1.500677
camera id = 5, point id = 5, error_u = 1.225981, error_v = 1.872184
camera id = 6, point id = 5, error_u = 3.296897, error_v = 2.781774
camera id = 7, point id = 5, error_u = 8.007084, error_v = 3.341711
camera id = 8, point id = 5, error_u = 2.642990, error_v = 3.548419
camera id = 9, point id = 5, error_u = -1.077552, error_v = 4.615021
camera id = 10, point id = 5, error_u = -2.660086, error_v = -3.074484
camera id = 13, point id = 5, error_u = 2.515715, error_v = 1.003806
camera id = 15, point id = 5, error_u = 0.546395, error_v = 0.197040
successful step! iteration = 82, error before = 287.664875, error next = 287.314724, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.735230, error_v = 0.379550
camera id = 1, point id = 0, error_u = -3.272676, error_v = 0.911767
camera id = 2, point id = 0, error_u = 1.766599, error_v = 3.016176
camera id = 7, point id = 0, error_u = 4.219097, error_v = 5.082008
camera id = 12, point id = 0, error_u = -0.430568, error_v = 0.794597
camera id = 13, point id = 0, error_u = -0.747800, error_v = 0.431275
camera id = 0, point id = 1, error_u = 0.686282, error_v = 0.323363
camera id = 1, point id = 1, error_u = -3.369130, error_v = 0.301945
camera id = 10, point id = 1, error_u = -6.315884, error_v = -2.305587
camera id = 0, point id = 2, error_u = -0.274122, error_v = -0.264288
camera id = 1, point id = 2, error_u = -1.515143, error_v = 0.679570
camera id = 2, point id = 2, error_u = 2.757864, error_v = 1.972533
camera id = 6, point id = 2, error_u = 0.157719, error_v = -1.322454
camera id = 7, point id = 2, error_u = 3.977968, error_v = 0.025518
camera id = 9, point id = 2, error_u = -2.998844, error_v = 1.059576
camera id = 10, point id = 2, error_u = -3.277321, error_v = -1.914253
camera id = 12, point id = 2, error_u = 0.994650, error_v = 1.017631
camera id = 13, point id = 2, error_u = -0.407572, error_v = -0.134098
camera id = 15, point id = 2, error_u = -1.341517, error_v = -1.278972
camera id = 0, point id = 3, error_u = -0.158477, error_v = -0.322564
camera id = 1, point id = 3, error_u = -1.358228, error_v = 0.619988
camera id = 2, point id = 3, error_u = 2.545085, error_v = 2.076142
camera id = 6, point id = 3, error_u = 0.034523, error_v = -1.130053
camera id = 7, point id = 3, error_u = 3.947501, error_v = 0.123038
camera id = 8, point id = 3, error_u = 0.759195, error_v = 0.662356
camera id = 9, point id = 3, error_u = -3.285554, error_v = 1.164634
camera id = 10, point id = 3, error_u = -3.308916, error_v = -1.800138
camera id = 12, point id = 3, error_u = 1.028401, error_v = 1.019347
camera id = 15, point id = 3, error_u = -1.075672, error_v = -1.424382
camera id = 0, point id = 4, error_u = 1.379224, error_v = 0.400148
camera id = 1, point id = 4, error_u = -0.229966, error_v = 0.771860
camera id = 2, point id = 4, error_u = 3.318320, error_v = 3.466243
camera id = 3, point id = 4, error_u = -9.311703, error_v = 3.067779
camera id = 5, point id = 4, error_u = 0.210786, error_v = -0.708941
camera id = 6, point id = 4, error_u = 0.398442, error_v = 0.502978
camera id = 8, point id = 4, error_u = 1.539997, error_v = 0.378495
camera id = 9, point id = 4, error_u = -0.880834, error_v = 0.514737
camera id = 11, point id = 4, error_u = 0.486008, error_v = -0.299156
camera id = 13, point id = 4, error_u = 0.463661, error_v = -0.349946
camera id = 14, point id = 4, error_u = 0.620173, error_v = -0.494641
camera id = 0, point id = 5, error_u = 2.488470, error_v = 1.103232
camera id = 1, point id = 5, error_u = -0.734817, error_v = 1.599376
camera id = 3, point id = 5, error_u = 0.057585, error_v = -1.673303
camera id = 4, point id = 5, error_u = 3.221896, error_v = -1.390722
camera id = 5, point id = 5, error_u = 1.198421, error_v = 1.864432
camera id = 6, point id = 5, error_u = 3.398500, error_v = 2.756353
camera id = 7, point id = 5, error_u = 8.082368, error_v = 3.347936
camera id = 8, point id = 5, error_u = 2.649893, error_v = 3.493226
camera id = 9, point id = 5, error_u = -0.587762, error_v = 5.007202
camera id = 10, point id = 5, error_u = -2.614005, error_v = -3.136140
camera id = 13, point id = 5, error_u = 2.526317, error_v = 1.014096
camera id = 15, point id = 5, error_u = 0.558596, error_v = 0.181299
unsuccessful step! iteration = 83, error before = 287.314724, error next = 287.586937, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.735230, error_v = 0.379550
camera id = 1, point id = 0, error_u = -3.272676, error_v = 0.911767
camera id = 2, point id = 0, error_u = 1.766599, error_v = 3.016176
camera id = 7, point id = 0, error_u = 4.219097, error_v = 5.082008
camera id = 12, point id = 0, error_u = -0.430568, error_v = 0.794597
camera id = 13, point id = 0, error_u = -0.747800, error_v = 0.431275
camera id = 0, point id = 1, error_u = 0.686282, error_v = 0.323363
camera id = 1, point id = 1, error_u = -3.369130, error_v = 0.301945
camera id = 10, point id = 1, error_u = -6.315884, error_v = -2.305587
camera id = 0, point id = 2, error_u = -0.274122, error_v = -0.264288
camera id = 1, point id = 2, error_u = -1.515143, error_v = 0.679570
camera id = 2, point id = 2, error_u = 2.757864, error_v = 1.972533
camera id = 6, point id = 2, error_u = 0.157719, error_v = -1.322454
camera id = 7, point id = 2, error_u = 3.977968, error_v = 0.025518
camera id = 9, point id = 2, error_u = -2.998844, error_v = 1.059576
camera id = 10, point id = 2, error_u = -3.277321, error_v = -1.914253
camera id = 12, point id = 2, error_u = 0.994650, error_v = 1.017631
camera id = 13, point id = 2, error_u = -0.407572, error_v = -0.134098
camera id = 15, point id = 2, error_u = -1.341517, error_v = -1.278972
camera id = 0, point id = 3, error_u = -0.158477, error_v = -0.322564
camera id = 1, point id = 3, error_u = -1.358228, error_v = 0.619988
camera id = 2, point id = 3, error_u = 2.545085, error_v = 2.076142
camera id = 6, point id = 3, error_u = 0.034523, error_v = -1.130053
camera id = 7, point id = 3, error_u = 3.947501, error_v = 0.123038
camera id = 8, point id = 3, error_u = 0.759195, error_v = 0.662356
camera id = 9, point id = 3, error_u = -3.285554, error_v = 1.164634
camera id = 10, point id = 3, error_u = -3.308916, error_v = -1.800138
camera id = 12, point id = 3, error_u = 1.028401, error_v = 1.019347
camera id = 15, point id = 3, error_u = -1.075672, error_v = -1.424382
camera id = 0, point id = 4, error_u = 1.379224, error_v = 0.400148
camera id = 1, point id = 4, error_u = -0.229966, error_v = 0.771860
camera id = 2, point id = 4, error_u = 3.318320, error_v = 3.466243
camera id = 3, point id = 4, error_u = -9.311703, error_v = 3.067779
camera id = 5, point id = 4, error_u = 0.210786, error_v = -0.708941
camera id = 6, point id = 4, error_u = 0.398442, error_v = 0.502978
camera id = 8, point id = 4, error_u = 1.539997, error_v = 0.378495
camera id = 9, point id = 4, error_u = -0.880834, error_v = 0.514737
camera id = 11, point id = 4, error_u = 0.486008, error_v = -0.299156
camera id = 13, point id = 4, error_u = 0.463661, error_v = -0.349946
camera id = 14, point id = 4, error_u = 0.620173, error_v = -0.494641
camera id = 0, point id = 5, error_u = 2.488470, error_v = 1.103232
camera id = 1, point id = 5, error_u = -0.734817, error_v = 1.599376
camera id = 3, point id = 5, error_u = 0.057585, error_v = -1.673303
camera id = 4, point id = 5, error_u = 3.221896, error_v = -1.390722
camera id = 5, point id = 5, error_u = 1.198421, error_v = 1.864432
camera id = 6, point id = 5, error_u = 3.398500, error_v = 2.756353
camera id = 7, point id = 5, error_u = 8.082368, error_v = 3.347936
camera id = 8, point id = 5, error_u = 2.649893, error_v = 3.493226
camera id = 9, point id = 5, error_u = -0.587762, error_v = 5.007202
camera id = 10, point id = 5, error_u = -2.614005, error_v = -3.136140
camera id = 13, point id = 5, error_u = 2.526317, error_v = 1.014096
camera id = 15, point id = 5, error_u = 0.558596, error_v = 0.181299
successful step! iteration = 84, error before = 287.314724, error next = 286.875607, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.758416, error_v = 0.325086
camera id = 1, point id = 0, error_u = -3.335505, error_v = 0.824292
camera id = 2, point id = 0, error_u = 1.790721, error_v = 2.940578
camera id = 7, point id = 0, error_u = 4.136737, error_v = 4.942337
camera id = 12, point id = 0, error_u = -0.634510, error_v = 0.702017
camera id = 13, point id = 0, error_u = -0.792976, error_v = 0.375034
camera id = 0, point id = 1, error_u = 0.780992, error_v = 0.327008
camera id = 1, point id = 1, error_u = -3.387494, error_v = 0.263951
camera id = 10, point id = 1, error_u = -6.217757, error_v = -2.362373
camera id = 0, point id = 2, error_u = -0.277714, error_v = -0.261221
camera id = 1, point id = 2, error_u = -1.656586, error_v = 0.658972
camera id = 2, point id = 2, error_u = 2.801743, error_v = 2.004055
camera id = 6, point id = 2, error_u = 0.129512, error_v = -1.362835
camera id = 7, point id = 2, error_u = 3.994975, error_v = 0.099461
camera id = 9, point id = 2, error_u = -2.625046, error_v = 1.210516
camera id = 10, point id = 2, error_u = -3.306074, error_v = -2.003484
camera id = 12, point id = 2, error_u = 0.953085, error_v = 0.938379
camera id = 13, point id = 2, error_u = -0.456673, error_v = -0.140327
camera id = 15, point id = 2, error_u = -1.377504, error_v = -1.294413
camera id = 0, point id = 3, error_u = -0.163624, error_v = -0.319656
camera id = 1, point id = 3, error_u = -1.501107, error_v = 0.601057
camera id = 2, point id = 3, error_u = 2.587400, error_v = 2.107059
camera id = 6, point id = 3, error_u = 0.004558, error_v = -1.170425
camera id = 7, point id = 3, error_u = 3.964584, error_v = 0.196308
camera id = 8, point id = 3, error_u = 0.659980, error_v = 0.577440
camera id = 9, point id = 3, error_u = -2.913949, error_v = 1.312789
camera id = 10, point id = 3, error_u = -3.340183, error_v = -1.888556
camera id = 12, point id = 3, error_u = 0.984828, error_v = 0.938229
camera id = 15, point id = 3, error_u = -1.114109, error_v = -1.440001
camera id = 0, point id = 4, error_u = 1.399104, error_v = 0.350748
camera id = 1, point id = 4, error_u = -0.311278, error_v = 0.654015
camera id = 2, point id = 4, error_u = 3.378700, error_v = 3.426572
camera id = 3, point id = 4, error_u = -9.245420, error_v = 3.122569
camera id = 5, point id = 4, error_u = 0.187173, error_v = -0.799877
camera id = 6, point id = 4, error_u = 0.426178, error_v = 0.389822
camera id = 8, point id = 4, error_u = 1.513722, error_v = 0.265186
camera id = 9, point id = 4, error_u = -0.583655, error_v = 0.642081
camera id = 11, point id = 4, error_u = 0.518234, error_v = -0.342161
camera id = 13, point id = 4, error_u = 0.456364, error_v = -0.402625
camera id = 14, point id = 4, error_u = 0.649153, error_v = -0.534662
camera id = 0, point id = 5, error_u = 2.510661, error_v = 1.101606
camera id = 1, point id = 5, error_u = -0.804914, error_v = 1.564336
camera id = 3, point id = 5, error_u = 0.370190, error_v = -1.461354
camera id = 4, point id = 5, error_u = 3.271663, error_v = -1.269934
camera id = 5, point id = 5, error_u = 1.164501, error_v = 1.851014
camera id = 6, point id = 5, error_u = 3.491648, error_v = 2.725474
camera id = 7, point id = 5, error_u = 8.138919, error_v = 3.342449
camera id = 8, point id = 5, error_u = 2.646735, error_v = 3.426672
camera id = 9, point id = 5, error_u = -0.096558, error_v = 5.386007
camera id = 10, point id = 5, error_u = -2.560765, error_v = -3.191266
camera id = 13, point id = 5, error_u = 2.531595, error_v = 1.020869
camera id = 15, point id = 5, error_u = 0.569488, error_v = 0.165175
unsuccessful step! iteration = 85, error before = 286.875607, error next = 287.053517, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.758416, error_v = 0.325086
camera id = 1, point id = 0, error_u = -3.335505, error_v = 0.824292
camera id = 2, point id = 0, error_u = 1.790721, error_v = 2.940578
camera id = 7, point id = 0, error_u = 4.136737, error_v = 4.942337
camera id = 12, point id = 0, error_u = -0.634510, error_v = 0.702017
camera id = 13, point id = 0, error_u = -0.792976, error_v = 0.375034
camera id = 0, point id = 1, error_u = 0.780992, error_v = 0.327008
camera id = 1, point id = 1, error_u = -3.387494, error_v = 0.263951
camera id = 10, point id = 1, error_u = -6.217757, error_v = -2.362373
camera id = 0, point id = 2, error_u = -0.277714, error_v = -0.261221
camera id = 1, point id = 2, error_u = -1.656586, error_v = 0.658972
camera id = 2, point id = 2, error_u = 2.801743, error_v = 2.004055
camera id = 6, point id = 2, error_u = 0.129512, error_v = -1.362835
camera id = 7, point id = 2, error_u = 3.994975, error_v = 0.099461
camera id = 9, point id = 2, error_u = -2.625046, error_v = 1.210516
camera id = 10, point id = 2, error_u = -3.306074, error_v = -2.003484
camera id = 12, point id = 2, error_u = 0.953085, error_v = 0.938379
camera id = 13, point id = 2, error_u = -0.456673, error_v = -0.140327
camera id = 15, point id = 2, error_u = -1.377504, error_v = -1.294413
camera id = 0, point id = 3, error_u = -0.163624, error_v = -0.319656
camera id = 1, point id = 3, error_u = -1.501107, error_v = 0.601057
camera id = 2, point id = 3, error_u = 2.587400, error_v = 2.107059
camera id = 6, point id = 3, error_u = 0.004558, error_v = -1.170425
camera id = 7, point id = 3, error_u = 3.964584, error_v = 0.196308
camera id = 8, point id = 3, error_u = 0.659980, error_v = 0.577440
camera id = 9, point id = 3, error_u = -2.913949, error_v = 1.312789
camera id = 10, point id = 3, error_u = -3.340183, error_v = -1.888556
camera id = 12, point id = 3, error_u = 0.984828, error_v = 0.938229
camera id = 15, point id = 3, error_u = -1.114109, error_v = -1.440001
camera id = 0, point id = 4, error_u = 1.399104, error_v = 0.350748
camera id = 1, point id = 4, error_u = -0.311278, error_v = 0.654015
camera id = 2, point id = 4, error_u = 3.378700, error_v = 3.426572
camera id = 3, point id = 4, error_u = -9.245420, error_v = 3.122569
camera id = 5, point id = 4, error_u = 0.187173, error_v = -0.799877
camera id = 6, point id = 4, error_u = 0.426178, error_v = 0.389822
camera id = 8, point id = 4, error_u = 1.513722, error_v = 0.265186
camera id = 9, point id = 4, error_u = -0.583655, error_v = 0.642081
camera id = 11, point id = 4, error_u = 0.518234, error_v = -0.342161
camera id = 13, point id = 4, error_u = 0.456364, error_v = -0.402625
camera id = 14, point id = 4, error_u = 0.649153, error_v = -0.534662
camera id = 0, point id = 5, error_u = 2.510661, error_v = 1.101606
camera id = 1, point id = 5, error_u = -0.804914, error_v = 1.564336
camera id = 3, point id = 5, error_u = 0.370190, error_v = -1.461354
camera id = 4, point id = 5, error_u = 3.271663, error_v = -1.269934
camera id = 5, point id = 5, error_u = 1.164501, error_v = 1.851014
camera id = 6, point id = 5, error_u = 3.491648, error_v = 2.725474
camera id = 7, point id = 5, error_u = 8.138919, error_v = 3.342449
camera id = 8, point id = 5, error_u = 2.646735, error_v = 3.426672
camera id = 9, point id = 5, error_u = -0.096558, error_v = 5.386007
camera id = 10, point id = 5, error_u = -2.560765, error_v = -3.191266
camera id = 13, point id = 5, error_u = 2.531595, error_v = 1.020869
camera id = 15, point id = 5, error_u = 0.569488, error_v = 0.165175
successful step! iteration = 86, error before = 286.875607, error next = 286.343330, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.782308, error_v = 0.267147
camera id = 1, point id = 0, error_u = -3.394605, error_v = 0.733357
camera id = 2, point id = 0, error_u = 1.810241, error_v = 2.851931
camera id = 7, point id = 0, error_u = 4.042773, error_v = 4.788057
camera id = 12, point id = 0, error_u = -0.835544, error_v = 0.602843
camera id = 13, point id = 0, error_u = -0.838604, error_v = 0.315994
camera id = 0, point id = 1, error_u = 0.879905, error_v = 0.331355
camera id = 1, point id = 1, error_u = -3.394768, error_v = 0.221951
camera id = 10, point id = 1, error_u = -6.100050, error_v = -2.410679
camera id = 0, point id = 2, error_u = -0.282703, error_v = -0.258087
camera id = 1, point id = 2, error_u = -1.791046, error_v = 0.635366
camera id = 2, point id = 2, error_u = 2.837468, error_v = 2.028453
camera id = 6, point id = 2, error_u = 0.099364, error_v = -1.401661
camera id = 7, point id = 2, error_u = 3.996523, error_v = 0.171795
camera id = 9, point id = 2, error_u = -2.247621, error_v = 1.353800
camera id = 10, point id = 2, error_u = -3.319914, error_v = -2.083943
camera id = 12, point id = 2, error_u = 0.909619, error_v = 0.856335
camera id = 13, point id = 2, error_u = -0.506732, error_v = -0.146923
camera id = 15, point id = 2, error_u = -1.409643, error_v = -1.305452
camera id = 0, point id = 3, error_u = -0.170356, error_v = -0.316772
camera id = 1, point id = 3, error_u = -1.637333, error_v = 0.579044
camera id = 2, point id = 3, error_u = 2.621371, error_v = 2.130704
camera id = 6, point id = 3, error_u = -0.027544, error_v = -1.209428
camera id = 7, point id = 3, error_u = 3.966093, error_v = 0.267881
camera id = 8, point id = 3, error_u = 0.555171, error_v = 0.487676
camera id = 9, point id = 3, error_u = -2.538931, error_v = 1.453155
camera id = 10, point id = 3, error_u = -3.356896, error_v = -1.968531
camera id = 12, point id = 3, error_u = 0.939108, error_v = 0.854163
camera id = 15, point id = 3, error_u = -1.148986, error_v = -1.451438
camera id = 0, point id = 4, error_u = 1.417092, error_v = 0.299773
camera id = 1, point id = 4, error_u = -0.388811, error_v = 0.533305
camera id = 2, point id = 4, error_u = 3.432807, error_v = 3.378811
camera id = 3, point id = 4, error_u = -9.175821, error_v = 3.172644
camera id = 5, point id = 4, error_u = 0.162781, error_v = -0.893509
camera id = 6, point id = 4, error_u = 0.449978, error_v = 0.275351
camera id = 8, point id = 4, error_u = 1.484336, error_v = 0.146807
camera id = 9, point id = 4, error_u = -0.282031, error_v = 0.763254
camera id = 11, point id = 4, error_u = 0.548160, error_v = -0.385307
camera id = 13, point id = 4, error_u = 0.448006, error_v = -0.456992
camera id = 14, point id = 4, error_u = 0.675060, error_v = -0.574423
camera id = 0, point id = 5, error_u = 2.528490, error_v = 1.096856
camera id = 1, point id = 5, error_u = -0.872105, error_v = 1.525190
camera id = 3, point id = 5, error_u = 0.679358, error_v = -1.257087
camera id = 4, point id = 5, error_u = 3.315386, error_v = -1.138482
camera id = 5, point id = 5, error_u = 1.124163, error_v = 1.832029
camera id = 6, point id = 5, error_u = 3.576121, error_v = 2.689236
camera id = 7, point id = 5, error_u = 8.176711, error_v = 3.325222
camera id = 8, point id = 5, error_u = 2.633598, error_v = 3.349057
camera id = 9, point id = 5, error_u = 0.394129, error_v = 5.749745
camera id = 10, point id = 5, error_u = -2.500611, error_v = -3.239763
camera id = 13, point id = 5, error_u = 2.531504, error_v = 1.024151
camera id = 15, point id = 5, error_u = 0.579021, error_v = 0.148661
unsuccessful step! iteration = 87, error before = 286.343330, error next = 286.423159, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.782308, error_v = 0.267147
camera id = 1, point id = 0, error_u = -3.394605, error_v = 0.733357
camera id = 2, point id = 0, error_u = 1.810241, error_v = 2.851931
camera id = 7, point id = 0, error_u = 4.042773, error_v = 4.788057
camera id = 12, point id = 0, error_u = -0.835544, error_v = 0.602843
camera id = 13, point id = 0, error_u = -0.838604, error_v = 0.315994
camera id = 0, point id = 1, error_u = 0.879905, error_v = 0.331355
camera id = 1, point id = 1, error_u = -3.394768, error_v = 0.221951
camera id = 10, point id = 1, error_u = -6.100050, error_v = -2.410679
camera id = 0, point id = 2, error_u = -0.282703, error_v = -0.258087
camera id = 1, point id = 2, error_u = -1.791046, error_v = 0.635366
camera id = 2, point id = 2, error_u = 2.837468, error_v = 2.028453
camera id = 6, point id = 2, error_u = 0.099364, error_v = -1.401661
camera id = 7, point id = 2, error_u = 3.996523, error_v = 0.171795
camera id = 9, point id = 2, error_u = -2.247621, error_v = 1.353800
camera id = 10, point id = 2, error_u = -3.319914, error_v = -2.083943
camera id = 12, point id = 2, error_u = 0.909619, error_v = 0.856335
camera id = 13, point id = 2, error_u = -0.506732, error_v = -0.146923
camera id = 15, point id = 2, error_u = -1.409643, error_v = -1.305452
camera id = 0, point id = 3, error_u = -0.170356, error_v = -0.316772
camera id = 1, point id = 3, error_u = -1.637333, error_v = 0.579044
camera id = 2, point id = 3, error_u = 2.621371, error_v = 2.130704
camera id = 6, point id = 3, error_u = -0.027544, error_v = -1.209428
camera id = 7, point id = 3, error_u = 3.966093, error_v = 0.267881
camera id = 8, point id = 3, error_u = 0.555171, error_v = 0.487676
camera id = 9, point id = 3, error_u = -2.538931, error_v = 1.453155
camera id = 10, point id = 3, error_u = -3.356896, error_v = -1.968531
camera id = 12, point id = 3, error_u = 0.939108, error_v = 0.854163
camera id = 15, point id = 3, error_u = -1.148986, error_v = -1.451438
camera id = 0, point id = 4, error_u = 1.417092, error_v = 0.299773
camera id = 1, point id = 4, error_u = -0.388811, error_v = 0.533305
camera id = 2, point id = 4, error_u = 3.432807, error_v = 3.378811
camera id = 3, point id = 4, error_u = -9.175821, error_v = 3.172644
camera id = 5, point id = 4, error_u = 0.162781, error_v = -0.893509
camera id = 6, point id = 4, error_u = 0.449978, error_v = 0.275351
camera id = 8, point id = 4, error_u = 1.484336, error_v = 0.146807
camera id = 9, point id = 4, error_u = -0.282031, error_v = 0.763254
camera id = 11, point id = 4, error_u = 0.548160, error_v = -0.385307
camera id = 13, point id = 4, error_u = 0.448006, error_v = -0.456992
camera id = 14, point id = 4, error_u = 0.675060, error_v = -0.574423
camera id = 0, point id = 5, error_u = 2.528490, error_v = 1.096856
camera id = 1, point id = 5, error_u = -0.872105, error_v = 1.525190
camera id = 3, point id = 5, error_u = 0.679358, error_v = -1.257087
camera id = 4, point id = 5, error_u = 3.315386, error_v = -1.138482
camera id = 5, point id = 5, error_u = 1.124163, error_v = 1.832029
camera id = 6, point id = 5, error_u = 3.576121, error_v = 2.689236
camera id = 7, point id = 5, error_u = 8.176711, error_v = 3.325222
camera id = 8, point id = 5, error_u = 2.633598, error_v = 3.349057
camera id = 9, point id = 5, error_u = 0.394129, error_v = 5.749745
camera id = 10, point id = 5, error_u = -2.500611, error_v = -3.239763
camera id = 13, point id = 5, error_u = 2.531504, error_v = 1.024151
camera id = 15, point id = 5, error_u = 0.579021, error_v = 0.148661
successful step! iteration = 88, error before = 286.343330, error next = 285.714227, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.806858, error_v = 0.205921
camera id = 1, point id = 0, error_u = -3.449790, error_v = 0.639233
camera id = 2, point id = 0, error_u = 1.825201, error_v = 2.750575
camera id = 7, point id = 0, error_u = 3.937464, error_v = 4.619527
camera id = 12, point id = 0, error_u = -1.033337, error_v = 0.497585
camera id = 13, point id = 0, error_u = -0.884572, error_v = 0.254358
camera id = 0, point id = 1, error_u = 0.982758, error_v = 0.336459
camera id = 1, point id = 1, error_u = -3.390896, error_v = 0.176161
camera id = 10, point id = 1, error_u = -5.963198, error_v = -2.450340
camera id = 0, point id = 2, error_u = -0.289118, error_v = -0.254847
camera id = 1, point id = 2, error_u = -1.918211, error_v = 0.608911
camera id = 2, point id = 2, error_u = 2.864997, error_v = 2.045774
camera id = 6, point id = 2, error_u = 0.067382, error_v = -1.438721
camera id = 7, point id = 2, error_u = 3.982770, error_v = 0.242441
camera id = 9, point id = 2, error_u = -1.868215, error_v = 1.488801
camera id = 10, point id = 2, error_u = -3.319026, error_v = -2.155447
camera id = 12, point id = 2, error_u = 0.864508, error_v = 0.771757
camera id = 13, point id = 2, error_u = -0.557646, error_v = -0.153780
camera id = 15, point id = 2, error_u = -1.437865, error_v = -1.312048
camera id = 0, point id = 3, error_u = -0.178689, error_v = -0.313865
camera id = 1, point id = 3, error_u = -1.766575, error_v = 0.554111
camera id = 2, point id = 3, error_u = 2.646974, error_v = 2.147138
camera id = 6, point id = 3, error_u = -0.061661, error_v = -1.246838
camera id = 7, point id = 3, error_u = 3.952199, error_v = 0.337689
camera id = 8, point id = 3, error_u = 0.445122, error_v = 0.393541
camera id = 9, point id = 3, error_u = -2.162128, error_v = 1.585126
camera id = 10, point id = 3, error_u = -3.359220, error_v = -2.039871
camera id = 12, point id = 3, error_u = 0.891515, error_v = 0.767420
camera id = 15, point id = 3, error_u = -1.180212, error_v = -1.458639
camera id = 0, point id = 4, error_u = 1.433152, error_v = 0.247354
camera id = 1, point id = 4, error_u = -0.462342, error_v = 0.410052
camera id = 2, point id = 4, error_u = 3.480602, error_v = 3.323138
camera id = 3, point id = 4, error_u = -9.102870, error_v = 3.217947
camera id = 5, point id = 4, error_u = 0.137627, error_v = -0.989542
camera id = 6, point id = 4, error_u = 0.469799, error_v = 0.159915
camera id = 8, point id = 4, error_u = 1.451890, error_v = 0.023795
camera id = 9, point id = 4, error_u = 0.022843, error_v = 0.877642
camera id = 11, point id = 4, error_u = 0.575644, error_v = -0.428391
camera id = 13, point id = 4, error_u = 0.438622, error_v = -0.512867
camera id = 14, point id = 4, error_u = 0.697771, error_v = -0.613714
camera id = 0, point id = 5, error_u = 2.541846, error_v = 1.089003
camera id = 1, point id = 5, error_u = -0.936222, error_v = 1.482085
camera id = 3, point id = 5, error_u = 0.984698, error_v = -1.060834
camera id = 4, point id = 5, error_u = 3.352757, error_v = -0.996579
camera id = 5, point id = 5, error_u = 1.077376, error_v = 1.807601
camera id = 6, point id = 5, error_u = 3.651731, error_v = 2.647758
camera id = 7, point id = 5, error_u = 8.195775, error_v = 3.296267
camera id = 8, point id = 5, error_u = 2.610603, error_v = 3.260729
camera id = 9, point id = 5, error_u = 0.882388, error_v = 6.096792
camera id = 10, point id = 5, error_u = -2.433815, error_v = -3.281553
camera id = 13, point id = 5, error_u = 2.526017, error_v = 1.023979
camera id = 15, point id = 5, error_u = 0.587151, error_v = 0.131752
successful step! iteration = 89, error before = 285.714227, error next = 285.692780, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.831709, error_v = 0.143149
camera id = 1, point id = 0, error_u = -3.502921, error_v = 0.543662
camera id = 2, point id = 0, error_u = 1.837907, error_v = 2.643048
camera id = 7, point id = 0, error_u = 3.826638, error_v = 4.444044
camera id = 12, point id = 0, error_u = -1.229381, error_v = 0.389542
camera id = 13, point id = 0, error_u = -0.930652, error_v = 0.191530
camera id = 0, point id = 1, error_u = 1.087461, error_v = 0.341971
camera id = 1, point id = 1, error_u = -3.381429, error_v = 0.128584
camera id = 10, point id = 1, error_u = -5.816994, error_v = -2.485608
camera id = 0, point id = 2, error_u = -0.296261, error_v = -0.251534
camera id = 1, point id = 2, error_u = -2.041564, error_v = 0.581117
camera id = 2, point id = 2, error_u = 2.888412, error_v = 2.059588
camera id = 6, point id = 2, error_u = 0.034538, error_v = -1.474793
camera id = 7, point id = 2, error_u = 3.961451, error_v = 0.312208
camera id = 9, point id = 2, error_u = -1.488606, error_v = 1.619317
camera id = 10, point id = 2, error_u = -3.310880, error_v = -2.222386
camera id = 12, point id = 2, error_u = 0.818704, error_v = 0.686042
camera id = 13, point id = 2, error_u = -0.608934, error_v = -0.160713
camera id = 15, point id = 2, error_u = -1.464096, error_v = -1.316404
camera id = 0, point id = 3, error_u = -0.187828, error_v = -0.310921
camera id = 1, point id = 3, error_u = -1.892150, error_v = 0.527802
camera id = 2, point id = 3, error_u = 2.668385, error_v = 2.160005
camera id = 6, point id = 3, error_u = -0.096719, error_v = -1.283341
camera id = 7, point id = 3, error_u = 3.930694, error_v = 0.406582
camera id = 8, point id = 3, error_u = 0.332651, error_v = 0.297471
camera id = 9, point id = 3, error_u = -1.785211, error_v = 1.712573
camera id = 10, point id = 3, error_u = -3.354442, error_v = -2.106799
camera id = 12, point id = 3, error_u = 0.843123, error_v = 0.679476
camera id = 15, point id = 3, error_u = -1.209569, error_v = -1.463697
camera id = 0, point id = 4, error_u = 1.448234, error_v = 0.194281
camera id = 1, point id = 4, error_u = -0.533757, error_v = 0.285702
camera id = 2, point id = 4, error_u = 3.525229, error_v = 3.263606
camera id = 3, point id = 4, error_u = -9.028238, error_v = 3.260834
camera id = 5, point id = 4, error_u = 0.112098, error_v = -1.086627
camera id = 6, point id = 4, error_u = 0.487614, error_v = 0.044178
